Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-1460b,,0.175,29.9633247,,,transit,2016,1870,0.7,4422,
Kepler-1461b,,0.181,29.3494775,,,transit,2016,2450,0.79,4919,
Kepler-1462b,,0.341,65.6488341,,,transit,2016,4460,1,5756,
Kepler-1463b,,0.166,25.15864,,,transit,2016,4370,0.96,5679,
Kepler-1464b,,0.148,31.7785901,,,transit,2016,2260,1.02,5828,
Kepler-1464c,,0.089,5.32786292,,,transit,2016,2260,1.02,5828,
Kepler-1465b,,0.158,31.8277111,,,transit,2016,1100,0.75,4726,
Kepler-1466b,,0.138,31.1750448,,,transit,2016,2240,1.01,5884,
Kepler-1467b,,0.294,47.0569043,,,transit,2016,2900,0.86,5332,
Kepler-1468b,,0.154,8.23984869,,,transit,2016,3700,1.04,5893,
Kepler-1468c,,0.103,3.54553021,,,transit,2016,3700,1.04,5893,
Kepler-1469b,,0.25,21.8635301,,,transit,2016,4090,0.92,5507,
Kepler-1470b,,0.095,16.2950903,,,transit,2016,1860,0.8,4961,
Kepler-1471b,,0.126,3.63899398,,,transit,2016,3450,0.95,5660,
Kepler-1472b,,0.17,38.1312831,,,transit,2016,4140,1.16,6159,
Kepler-1473b,,0.106,14.4273551,,,transit,2016,2040,1.09,6046,
Kepler-1474b,,0.193,36.4333452,,,transit,2016,3960,1.04,5870,
Kepler-1475b,,0.261,82.177374,,,transit,2016,5590,1.18,6214,
Kepler-1476b,,0.149,10.35863224,,,transit,2016,3970,0.98,5663,
Kepler-1477b,,0.105,11.55530021,,,transit,2016,1710,0.81,5100,
Kepler-1478b,,0.154,26.0840594,,,transit,2016,4580,1.04,5904,
Kepler-1479b,,0.163,14.53261362,,,transit,2016,2020,0.99,5796,
Kepler-1480b,,0.149,22.12679948,,,transit,2016,1800,0.85,5156,
Kepler-1481b,,0.11,5.94220998,,,transit,2016,1610,0.8,4908,
Kepler-1482b,,0.09,12.25383217,,,transit,2016,1440,0.88,5381,
Kepler-1483b,,0.136,9.5085156,,,transit,2016,4330,1.25,6337,
Kepler-1484b,,0.188,30.4549136,,,transit,2016,3570,0.94,5730,
Kepler-1485b,,0.131,19.9157725,,,transit,2016,1800,1.11,6087,
Kepler-1486b,,0.207,54.6495759,,,transit,2016,4780,1.08,5965,
Kepler-1487b,,0.19,7.31946363,,,transit,2016,3570,1.38,6541,
Kepler-1488b,,0.166,39.8189932,,,transit,2016,2020,1.05,5820,
Kepler-1489b,,0.158,82.294751,,,transit,2016,2800,0.93,5655,
Kepler-1490b,,0.271,92.4362973,,,transit,2016,3160,0.9,5515,
Kepler-1491b,,0.135,16.5861762,,,transit,2016,4280,1,5728,
Kepler-1492b,,0.133,16.75255007,,,transit,2016,1210,0.77,4712,
Kepler-1493b,,0.126,15.0217983,,,transit,2016,1870,1.06,5863,
Kepler-1494b,,0.274,91.080482,,,transit,2016,3450,0.96,5659,
Kepler-1495b,,0.262,85.273256,,,transit,2016,4260,1.03,5831,
Kepler-1496b,,0.198,64.6588017,,,transit,2016,4220,1.18,6182,
Kepler-1497b,,0.148,8.74199772,,,transit,2016,3660,0.96,5675,
Kepler-1498b,,0.119,48.051405,,,transit,2016,2400,0.86,5256,
Kepler-1499b,,0.106,44.2008,,,transit,2016,1000,0.82,5097,
Kepler-1500b,,0.107,15.0330105,,,transit,2016,2950,1,5845,
Kepler-1501b,,0.139,14.5564533,,,transit,2016,2900,1.2,6229,
Kepler-1502b,,0.284,41.7083629,,,transit,2016,5000,1.44,6666,
Kepler-1503b,,0.203,96.16987,,,transit,2016,2800,0.77,5069,
Kepler-1504b,,0.19,82.304003,,,transit,2016,3360,0.85,5393,
Kepler-1505b,,0.083,30.8609366,,,transit,2016,1170,0.93,5686,
Kepler-1506b,,0.118,14.0329154,,,transit,2016,4300,0.95,5676,
Kepler-1507b,,0.075,16.0506213,,,transit,2016,1120,0.89,5410,
Kepler-1508b,,0.119,20.7056504,,,transit,2016,2910,1.14,6158,
Kepler-1509b,,0.165,25.4338197,,,transit,2016,4170,1,5780,
Kepler-1510b,,0.3,84.703921,,,transit,2016,5270,1.19,6200,
Kepler-1511b,,0.15,23.2382792,,,transit,2016,2930,1.17,6064,
Kepler-1512b,,0.105,20.35972599,,,transit,2016,530,0.73,4372,
Kepler-1513b,,0.755,160.88465087,,,transit,2016,1250,0.99,5617,
Kepler-1514b,,1.055,217.8317626,,,transit,2016,1240,1.21,6251,
Kepler-1515b,,0.852,214.3114164,,,transit,2016,1640,1.3,6511,
Kepler-1516b,,0.156,7.25931979,,,transit,2016,2840,1.04,5904,
Kepler-1517b,,0.871,5.54608367,,,transit,2016,2830,1.58,7010,
Kepler-1518b,,0.272,5.11177904,,,transit,2016,3700,1.54,6846,
Kepler-1519b,,0.63,240.7989397,,,transit,2016,2800,0.94,5644,
Kepler-1520b,,0.515,0.65355357,,,transit,2016,2070,0.76,4677,
Kepler-1521b,,0.223,47.14840805,,,transit,2016,740,0.81,5042,
Kepler-1522b,,0.154,1.84788917,,,transit,2016,2300,0.96,5706,
Kepler-1523b,,0.141,0.93875077,,,transit,2016,2990,0.97,5708,
Kepler-1524b,,0.316,70.9674603,,,transit,2016,1650,1.17,6179,
Kepler-1525b,,0.081,2.41660118,,,transit,2016,1290,1.07,5748,
Kepler-1526b,,0.217,3.908632,,,transit,2016,1880,0.73,4601,
Kepler-1527b,,0.426,160.129918,,,transit,2016,5100,1.21,6224,
Kepler-1528b,,0.13,1.79111021,,,transit,2016,2990,1.03,5857,
Kepler-1529b,,0.187,5.33905686,,,transit,2016,2230,0.81,5048,
Kepler-1530b,,0.146,2.5904434,,,transit,2016,1800,0.92,5477,
Kepler-1530c,,0.147,5.3227406,,,transit,2016,1800,0.92,5477,
Kepler-1531b,,0.099,1.13854338,,,transit,2016,2200,1.16,6260,
Kepler-1532b,,0.12,1.09366356,,,transit,2016,2690,0.91,5559,
Kepler-1533b,,0.309,308.5471,,,transit,2016,2780,1.31,6431,
Kepler-1534b,,0.169,5.71668872,,,transit,2016,3610,0.9,5442,
Kepler-1535b,,0.227,138.9442,,,transit,2016,2870,1.08,6021,
Kepler-1536b,,0.28,364.758031,,,transit,2016,1310,0.71,4434,
Kepler-1537b,,0.105,1.4444538,,,transit,2016,1640,0.81,5079,
Kepler-1538b,,0.252,175.138819,,,transit,2016,4210,1.03,5837,
Kepler-1539b,,0.241,133.3036741,,,transit,2016,2570,0.84,5176,
Kepler-1540b,,0.222,125.4131177,,,transit,2016,850,0.74,4540,
Kepler-1541b,,0.103,8.40691199,,,transit,2016,1350,0.86,5282,
Kepler-1542b,,0.068,3.95116882,,,transit,2016,1100,0.94,5564,
Kepler-1542c,,0.058,2.89223021,,,transit,2016,1100,0.94,5564,
Kepler-1542d,,0.078,5.99273738,,,transit,2016,1100,0.94,5564,
Kepler-1542e,,0.068,5.10115756,,,transit,2016,1100,0.94,5564,
Kepler-1543b,,0.242,6.96710269,,,transit,2016,3630,1.39,6561,
Kepler-1544b,,0.159,168.811174,,,transit,2016,1140,0.81,4886,
Kepler-1545b,,0.241,163.692349,,,transit,2016,2240,0.84,5201,
Kepler-1546b,,0.279,19.5974971,,,transit,2016,3240,0.95,5623,
Kepler-1547b,,0.08,0.69297968,,,transit,2016,2170,1.12,6078,
Kepler-1548b,,0.236,124.828679,,,transit,2016,3800,0.99,5706,
Kepler-1549b,,0.229,214.886545,,,transit,2016,2580,0.88,5324,
Kepler-1550b,,0.269,225.582809,,,transit,2016,3920,1.07,5991,
Kepler-1551b,,0.237,24.4973698,,,transit,2016,5100,1.14,6136,
Kepler-1552b,,0.22,184.771853,,,transit,2016,2020,0.85,5202,
Kepler-1553b,,0.103,4.24261881,,,transit,2016,2350,0.85,5288,
Kepler-1554b,,0.259,198.088774,,,transit,2016,3200,0.84,5297,
Kepler-1555b,,0.144,8.10501635,,,transit,2016,4510,1.04,5866,
Kepler-1556b,,0.175,8.82713457,,,transit,2016,3500,0.97,5608,
Kepler-1557b,,0.136,3.74032496,,,transit,2016,5000,1.11,6099,
Kepler-1558b,,0.061,3.50470358,,,transit,2016,1120,0.83,5101,
Kepler-1559b,,0.064,0.97191543,,,transit,2016,1900,0.86,5316,
Kepler-1560b,,0.079,3.03195744,,,transit,2016,1730,1.02,5815,
Kepler-1561b,,0.097,1.00520701,,,transit,2016,3240,1.07,5957,
Kepler-1562b,,0.317,64.2737752,,,transit,2016,4290,1.02,5760,
Kepler-1563b,,0.067,3.43276598,,,transit,2016,1780,1,5765,
Kepler-1564b,,0.131,18.0540381,,,transit,2016,2840,0.93,5528,
Kepler-1565b,,0.106,1.53818844,,,transit,2016,2140,0.76,4940,
Kepler-1566b,,0.07,0.53991524,,,transit,2016,1670,0.84,5254,
Kepler-1567b,,0.244,153.979578,,,transit,2016,4000,0.95,5655,
Kepler-1568b,,0.116,20.925392,,,transit,2016,2880,1.09,5956,
Kepler-1569b,,0.15,5.79180156,,,transit,2016,3400,1.25,6319,
Kepler-1570b,,0.095,26.548955,,,transit,2016,1510,0.92,5550,
Kepler-1571b,,0.136,3.38555488,,,transit,2016,2620,1.23,6297,
Kepler-1572b,,0.084,5.49548621,,,transit,2016,2000,0.97,5618,
Kepler-1573b,,0.107,2.6157554,,,transit,2016,3800,1.01,5808,
Kepler-1574b,,0.115,6.9424334,,,transit,2016,4160,1.06,5892,
Kepler-1575b,,0.117,2.55314213,,,transit,2016,3800,0.95,5667,
Kepler-1576b,,0.093,6.98471973,,,transit,2016,1760,1.05,5876,
Kepler-1577b,,0.101,6.30560247,,,transit,2016,1770,0.78,4862,
Kepler-1578b,,0.093,1.45088691,,,transit,2016,3310,0.9,5545,
Kepler-1579b,,0.075,0.84990789,,,transit,2016,1520,0.75,4584,
Kepler-1580b,,0.188,56.6449279,,,transit,2016,2840,1.47,6228,
Kepler-1581b,,0.071,6.28385491,,,transit,2016,1440,1.12,6022,
Kepler-1582b,,0.133,4.83817712,,,transit,2016,370,0.28,3208,
Kepler-1583b,,0.054,9.32807355,,,transit,2016,1160,0.94,5645,
Kepler-1584b,,0.144,13.3997099,,,transit,2016,4320,1.1,6069,
Kepler-1585b,,0.16,3.5827463,,,transit,2016,4140,0.94,5538,
Kepler-1586b,,0.136,15.6049212,,,transit,2016,2820,1.45,6681,
Kepler-1587b,,0.119,9.4060467,,,transit,2016,2960,1.08,5933,
Kepler-1588b,,0.068,7.84931739,,,transit,2016,2150,0.96,5817,
Kepler-1589b,,0.097,0.99166527,,,transit,2016,4620,1.18,6166,
Kepler-1590b,,0.102,7.61760804,,,transit,2016,2900,1.11,6053,
Kepler-1591b,,0.113,8.18504949,,,transit,2016,3600,1.1,6082,
Kepler-1592b,,0.137,3.05710069,,,transit,2016,4400,1.18,6213,
Kepler-1593b,,0.283,174.509835,,,transit,2016,2460,0.81,4995,
Kepler-1594b,,0.095,2.71603809,,,transit,2016,3600,1.06,5946,
Kepler-1595b,,0.11,4.56380468,,,transit,2016,2740,0.84,5203,
Kepler-1596b,,0.17,66.373379,,,transit,2016,3800,0.95,5706,
Kepler-1597b,,0.095,2.94654179,,,transit,2016,4090,1.25,6377,
Kepler-1598b,,0.085,4.34195123,,,transit,2016,2390,1.07,5940,
Kepler-1599b,,0.145,122.363553,,,transit,2016,3270,0.99,5767,
Kepler-1600b,,0.279,386.370548,,,transit,2016,3240,0.86,5214,
Kepler-1601b,,0.073,2.20921951,,,transit,2016,2200,1.04,5869,
Kepler-1602b,,0.12,11.17931605,,,transit,2016,2660,1.22,6296,
Kepler-1603b,,0.115,2.27163926,,,transit,2016,5710,1.21,6241,
Kepler-1604b,,0.126,0.68368426,,,transit,2016,1830,0.81,4976,
Kepler-1605b,,0.096,85.7565495,,,transit,2016,730,0.86,5280,
Kepler-1606b,,0.185,196.435224,,,transit,2016,2900,0.9,5422,
Kepler-1607b,,0.082,13.6473676,,,transit,2016,2400,1.14,6116,
Kepler-1608b,,0.154,16.4735686,,,transit,2016,2710,0.75,4992,
Kepler-1609b,,0.198,114.34219,,,transit,2016,4840,1.18,6132,
Kepler-1610b,,0.144,8.70181574,,,transit,2016,3470,0.91,5383,
Kepler-1611b,,0.072,5.1762429,,,transit,2016,2240,0.94,5605,
Kepler-1612b,,0.092,3.91795101,,,transit,2016,2730,0.96,5643,
Kepler-1613b,,0.186,1.5184299,,,transit,2016,2790,1.08,6005,
Kepler-1614b,,0.133,3.9466141,,,transit,2016,3200,0.79,5121,
Kepler-1615b,,0.184,47.3126192,,,transit,2016,3100,1.04,5865,
Kepler-1616b,,0.091,6.76284377,,,transit,2016,2810,1.21,6266,
Kepler-1617b,,0.107,27.4785572,,,transit,2016,2650,1.15,6167,
Kepler-1618b,,0.112,6.10826019,,,transit,2016,4040,1.41,6620,
Kepler-1619b,,0.068,23.6225913,,,transit,2016,1700,1,5852,
Kepler-1620b,,0.144,101.951829,,,transit,2016,2520,1.15,6157,
Kepler-1621b,,0.193,92.263714,,,transit,2016,4770,1.15,6158,
Kepler-1622b,,0.131,10.8118737,,,transit,2016,3020,1.31,6436,
Kepler-1623b,,0.117,4.36128348,,,transit,2016,3220,1,5772,
Kepler-1624b,,0.509,3.29030452,,,transit,2016,650,0.5,3636,
Kepler-1625b,,0.541,287.378949,,,transit,2016,3960,0.96,5677,
Kepler-1626b,,0.18,4.13962966,,,transit,2016,5600,1.51,6826,
Kepler-1627b,,0.329,7.20283653,,,transit,2016,1010,0.87,5445,
Kepler-1628b,,0.574,76.378033,,,transit,2016,1150,0.55,3724,
Kepler-1629b,,0.069,3.87595807,,,transit,2016,1300,1.01,5776,
Kepler-1630b,,0.195,509.997402,,,transit,2016,910,0.66,4736,
Kepler-1631b,,0.12,4.09513932,,,transit,2016,3900,0.97,5679,
Kepler-1632b,,0.22,448.303558,,,transit,2016,1900,1.12,6137,
Kepler-1633b,,0.141,186.404271,,,transit,2016,2650,1.2,6256,
Kepler-1634b,,0.285,374.876239,,,transit,2016,2130,0.92,5474,
Kepler-1635b,,0.325,469.63111,,,transit,2016,3540,0.89,5347,
Kepler-1636b,,0.288,425.47785,,,transit,2016,5110,1.01,5797,
Kepler-1637b,,0.079,6.10960324,,,transit,2016,1650,1.02,5789,
Kepler-1638b,,0.167,259.33683,,,transit,2016,2870,0.97,5710,
Kepler-1639b,,0.23,9.878482,,,transit,2016,3810,1.12,6150,
Kepler-1640b,,0.43,7.5844126,,,transit,2016,4500,1.27,6324,
Kepler-1641b,,0.277,19.672266,,,transit,2016,3130,1.12,6152,
Kepler-1641c,,0.263,32.657212,,,transit,2016,3130,1.12,6152,
Kepler-1642b,,0.285,12.2057513,,,transit,2016,1460,0.88,5355,
Kepler-1642c,,0.237,6.6513802,,,transit,2016,1460,0.88,5355,
Kepler-1643b,,0.205,5.34264507,,,transit,2016,1350,0.92,5508,
Kepler-1644b,,0.168,21.0907758,,,transit,2016,1930,0.89,5499,
Kepler-1645b,,0.159,16.1779561,,,transit,2016,2750,1.02,5812,
Kepler-1646b,,0.11,4.48558383,,,transit,2016,260,0.24,3299,
Kepler-1647b,1.51968,1.059,1107.5923,2.7205,,transit,2016,,1.22,6210,
MOA-2011-BLG-028Lb,0.09439,,,4.14,,microlensing,2016,24100,0.75,,
MOA-2013-BLG-605Lb,0.01007,,,0.94,,microlensing,2016,,0.03,,
OGLE-2007-BLG-349(AB)c,0.25171,,2557,2.59,,microlensing,2016,9000,0.41,,
OGLE-2012-BLG-0724Lb,0.47,,,1.6,,microlensing,2016,22000,0.29,,
OGLE-2014-BLG-0676Lb,3.09,,,4.4,,microlensing,2016,7200,0.62,,
OGLE-2015-BLG-0051Lb,0.72,,,0.73,,microlensing,2016,27000,0.1,,
OGLE-2015-BLG-0954Lb,3.9,,,1.2,,microlensing,2016,2000,0.33,,
OGLE-2015-BLG-0966Lb,0.06607,,,2.1,,microlensing,2016,8200,0.38,,
OGLE-2012-BLG-0950Lb,0.11012,,,2.7,,microlensing,2016,9800,0.56,,
OGLE-2014-BLG-1760Lb,0.56,,,1.75,,microlensing,2016,22400,0.51,,
Pr0211 c,7.79,,4850,5.5,,radial vel.,2016,,0.94,5300,
Proxima Centauri b,0.004,,11.186,0.0485,,radial vel.,2016,4.2,0.12,3050,"Nearest exoplanet to the Solar System, and is potentially habitable"
Rho Coronae Borealis c,0.07866,,102.54,0.4123,448,radial vel.,2016,56.2,0.89,5627,
TRAPPIST-1b,0.00267,0.097,1.51087081,0.01111,400,transit,2016,39,0.08,2559,
TRAPPIST-1c,0.00434,0.094,2.4218233,0.01521,342,transit,2016,39,0.08,2559,
TRAPPIST-1d,0.00129,0.069,4.04961,0.02144,288,transit,2016,39,0.08,2559,
TYC 3667-1280-1 b,5.4,,26.468,0.21,1350,radial vel.,2016,1570,1.87,5130,
V830 Tauri b,0.7,,4.927,0.057,,radial vel.,2016,490,1,4250,
WASP-76b,0.92,1.83,1.809886,0.033,2190,transit,2016,390,1.46,6250,
WASP-85Ab,1.265,1.24,2.6556777,0.039,1452,transit,2016,,1.09,6112,
WASP-90b,0.63,1.63,3.916243,0.0562,1840,transit,2016,1100,1.55,6430,
WASP-92b,0.805,1.461,2.1746742,0.0348,1871,transit,2016,1700,1.19,6280,
WASP-93b,1.47,1.597,2.7325321,0.04211,,transit,2016,820,1.33,6700,
WASP-113b,0.475,1.409,4.54216875,0.05885,1496,transit,2016,1200,1.32,5890,
WASP-114b,1.769,1.339,1.5487743,0.02851,2043,transit,2016,1500,1.29,5940,
WASP-118b,0.514,1.44,4.0460435,0.05453,,transit,2016,820,1.32,6410,
WASP-119b,1.23,1.4,2.49979,0.0363,1600,transit,2016,1090,1.02,5650,
WASP-120b,4.85,1.473,3.6112706,0.0514,1890,transit,2016,1430,1.39,6450,
WASP-121b,1.183,1.865,1.2749255,0.02544,,transit,2016,880,1.35,6459,
WASP-123b,0.899,1.318,2.9776412,0.04263,1510,transit,2016,700,1.17,5740,
WASP-124b,0.6,1.24,3.37265,0.0449,1400,transit,2016,1410,1.07,6050,
WASP-126b,0.28,0.96,3.2888,0.0449,1480,transit,2016,760,1.12,5800,
WASP-127b,0.18,1.37,4.178062,0.052,,transit,2016,330,1.08,5620,
WASP-129b,1,0.93,5.748145,0.0628,1100,transit,2016,800,1,5900,
WASP-130b,1.23,0.89,11.55098,0.1012,833,transit,2016,590,1.04,5625,
WASP-131b,0.27,1.22,5.322023,0.0607,1400,transit,2016,820,1.06,6030,
WASP-132b,0.41,0.87,7.133521,0.067,763,transit,2016,390,0.8,4775,
WASP-133b,1.16,1.21,2.176423,0.0345,1790,transit,2016,1780,1.16,5700,
WASP-135b,1.9,1.3,1.4013794,0.0243,,transit,2016,980,0.98,5675,
WASP-136b,1.51,1.38,5.215357,0.0661,,transit,2016,530,1.41,6260,
WASP-138b,1.22,1.09,3.634433,0.0494,,transit,2016,1000,1.22,6272,
WASP-139b,0.117,0.8,5.924262,0.062,910,transit,2016,750,0.92,5310,
WASP-140b,2.44,1.44,2.2359835,0.0323,1320,transit,2016,590,0.9,5260,
WASP-141b,2.69,1.21,3.310651,0.0469,1540,transit,2016,1900,1.25,5900,
WASP-142b,0.84,1.53,2.052868,0.0347,2000,transit,2016,2700,1.33,6010,
WASP-157b,0.574,1.065,3.9516205,0.0529,1339,transit,2016,,1.26,5838,
XO-6b,4.4,2.07,3.7650007,0.0815,1577,transit,2016,759.0,1.47,6720,
YBP 401 b,0.46,,4.087,,,radial vel.,2016,,1.14,6165,
BD+03 2562 b,6.4,,481.9,1.3,,radial vel.,2017,8540,1.14,4095,
CoRoT 223977153 b,0.15,0.57,6.71837,0.071,938,transit,2017,,1.08,5970,
Gliese 273 b,0.00909,,18.6498,0.091101,,radial vel.,2017,12,0.29,3382,
Gliese 273 c,0.00371,,4.7234,0.036467,,radial vel.,2017,12,0.29,3382,
Gliese 625 b,0.00887,,14.628,0.078361,,radial vel.,2017,21,0.30,3499,
Gliese 1148 c,0.2141,,532.58,0.912,,radial vel.,2017,35.98,,,
Gliese 3138 b,0.0056,,1.22003,0.0197,,radial vel.,2017,92.9,0.68,3717,
Gliese 3138 c,0.01315,,5.974,0.057,,radial vel.,2017,92.9,0.68,3717,
Gliese 3138 d,0.03304,,257.8,0.698,,radial vel.,2017,92.9,0.68,3717,
Gliese 3293 d,0.02391,,48.1345,0.19394,,radial vel.,2017,51.4,0.42,3466,
Gliese 3293 e,0.01032,,13.2543,0.08208,,radial vel.,2017,51.4,0.42,3466,
Gliese 3323 b,0.00636,,5.3636,0.03282,,radial vel.,2017,17.4,0.16,3159,
Gliese 3323 c,0.00727,,40.54,0.1264,,radial vel.,2017,17.4,0.16,3159,
Gliese 3942 b,0.0225,,6.905,0.0608,590,radial vel.,2017,55.3,0.63,3867,
HAT-P-67b,0.34,2.085,4.81010250,0.06505,,transit,2017,1000,1.642,6406,
HATS-22b,2.74,0.953,4.7228124,0.05025,858,transit,2017,678,0.76,4803,
HATS-23b,1.47,1.86,2.1605156,0.03397,1654,transit,2017,2440,1.12,5780,
HATS-24b,2.44,1.487,1.3484954,0.02547,2067,transit,2017,1700,1.21,6346,
HATS-50b,0.39,1.130,3.8297015,0.05046,,transit,2017,2340,1.17,5990,
HATS-51b,0.768,1.41,3.3488702,0.04639,1553,transit,2017,1560,1.17,5758,
HATS-52b,2.24,1.382,1.36665436,0.02498,1834,transit,2017,2060,1.11,6010,
HATS-53b,0.595,1.340,3.8537768,0.04753,1312,transit,2017,2000,0.96,5644,
HD 3167 d,0.0217,,8.509,0.07757,,radial vel.,2017,149,0.86,5261,
HD 17674 b,0.87,,623.8,1.42,,radial vel.,2017,145,0.98,5904,
HD 20794 e,0.0150,,147.02,0.509,,radial vel.,2017,19.8,0.7,5401,
HD 27894 c,0.162,,36.07,0.198,,radial vel.,2017,138.2,0.8,4875,
HD 27894 d,5.415,,5174,5.448,,radial vel.,2017,138.2,0.8,4875,
HD 29021 b,2.4,,1362.3,2.28,,radial vel.,2017,100,0.85,5560,
HD 34445 c,0.168,,214.67,0.7181,,radial vel.,2017,146.8,1.07,5836,
HD 34445 d,0.0970,,117.87,0.4817,,radial vel.,2017,146.8,1.07,5836,
HD 34445 e,0.0529,,49.175,0.2687,,radial vel.,2017,146.8,1.07,5836,
HD 34445 f,0.119,,676.8,1.543,,radial vel.,2017,146.8,1.07,5836,
HD 34445 g,0.38,,5700,6.36,,radial vel.,2017,146.8,1.07,5836,
HD 40956 b,2.7,,578.6,1.4,,radial vel.,2017,385,2.00,4869,
HD 42012 b,1.6,,857.5,1.67,,radial vel.,2017,121,0.83,5405,
HD 76920 b,3.93,,415.4,1.149,,radial vel.,2017,602.7,1.17,4698,Extremely eccentric orbit around an evolved red giant
HD 106315 b,0.0255,0.207,9.55804,0.0905,1046,transit,2017,358,1.08,6277,
HD 106315 c,0.0560,0.385,21.05788,0.1533,804,transit,2017,358,1.08,6277,
HD 111591 b,4.4,,1056.4,2.5,,radial vel.,2017,352,1.94,4884,
HD 113996 b,6.3,,610.2,1.6,,radial vel.,2017,331.4,1.49,4181,
HD 147379 b,0.0777,,86.54,0.3193,,radial vel.,2017,35.01,0.58,4090,
HD 176986 b,0.0181,,6.48980,0.06296,,radial vel.,2017,86.1,0.79,4931,
HD 176986 c,0.02888,,16.8191,0.11878,,radial vel.,2017,86.1,0.79,4931,
HD 177565 b,0.04751,,44.505,0.246,,radial vel.,2017,56,1.0,,
HD 208897 b,1.40,,352.7,1.05,,radial vel.,2017,211,1.25,4860,
HIP 65426 b,9.0,,,92,1450,imaging,2017,363,1.96,8840,
HIP 67537 b,11.1,,2556.5,4.91,,radial vel.,2017,,2.41,4985,
K2-18c,0.0236,,8.962,0.060,363,radial vel.,2017,110,0.36,3547,
K2-105b,0.09439,0.369,8.266902,0.081,,transit,2017,760,1.01,5434,
K2-107b,0.84,1.44,3.31392,0.048,,transit,2017,,1.3,6030,
K2-108b,0.18689,0.471,4.73401,0.0573,1446,transit,2017,,1.12,5474,
K2-110b,0.0525,0.2312,13.86375,0.1021,640,transit,2017,385,0.74,5010,
K2-111b,0.0271,0.17,5.35117,0.0621,1309,transit,2017,680,0.88,5730,
K2-113b,1.29,0.930,5.817608,0.0558,1178,transit,2017,1800,1.01,5627,
K2-114b,1.85,0.942,11.39109,0.09309,719,transit,2017,1570,0.83,5027,
K2-115b,0.84,1.115,20.273034,0.1367,682,transit,2017,1360,0.83,5560,
K2-116b,,0.062,4.655411,0.048,,transit,2017,183.1,0.69,4348,
K2-117b,,0.175,1.291505,0.019,,transit,2017,,0.58,3842,
K2-117c,,0.181,5.444820,0.051,,transit,2017,,0.58,3842,
K2-118b,,0.227,50.92092,0.245,,transit,2017,,0.76,4726,
K2-119b,,0.204,7.728578,0.070,,transit,2017,,0.76,4753,
K2-120b,,0.179,9.562742,0.078,,transit,2017,,0.69,4350,
K2-121b,,0.814,5.185754,0.052,,transit,2017,,0.71,4471,
K2-122b,,0.114,2.219405,0.029,,transit,2017,,0.63,3993,
K2-123b,,0.236,30.956763,0.167,,transit,2017,,0.65,4076,
K2-124b,,0.236,6.413539,0.051,,transit,2017,,0.44,3561,
K2-125b,,0.194,21.750264,0.121,,transit,2017,,0.49,3654,
K2-126b,,0.164,7.387073,0.066,,transit,2017,,0.70,4368,
K2-127b,,0.773,3.588165,0.041,,transit,2017,,0.70,4388,
K2-128b,,0.127,5.675819,0.056,,transit,2017,,0.71,4470,
K2-129b,,0.0928,8.239493,0.057,,transit,2017,,0.36,3459,
K2-130b,,0.112,2.494120,0.032,,transit,2017,,0.70,4356,
K2-131b,0.017,0.152,0.36931,0.009500,2062,transit,2017,501,0.84,5245,
K2-132b,,1.30,9.1751,,,transit,2017,568,1.08,4840,
K2-133b,,0.117,3.0712,0.033,,transit,2017,250,0.51,3655,
K2-133c,,0.132,4.8682,0.045,,transit,2017,250,0.51,3655,
K2-133d,,0.180,11.0234,0.077,,transit,2017,250,0.51,3655,
K2-135b,,0.156,1.208957,0.020,1043.5,transit,2017,98.8,0.66,4255,
K2-135c,,0.121,3.64802,0.042,721.9,transit,2017,98.8,0.66,4255,
K2-135d,,0.187,6.20141,0.060,604.9,transit,2017,98.8,0.66,4255,
K2-136b,,0.0883,7.975292,,553,transit,2017,,0.74,4499,
K2-136c,,0.260,17.307137,0.11728,425,transit,2017,,0.74,4499,
K2-136d,,0.129,25.575065,,373,transit,2017,,0.74,4499,
K2-137b,<0.5,0.079,0.179715,0.0058,1471,transit,2017,,0.46,3492,
K2-138b,,0.140,2.35322,0.03380,,transit,2017,597,0.93,5378,
K2-138c,,0.225,3.55987,0.04454,,transit,2017,597,0.93,5378,
K2-138d,,0.237,5.40478,0.05883,,transit,2017,597,0.93,5378,
K2-138e,,0.294,8.26144,0.07807,,transit,2017,597,0.93,5378,
K2-138f,,0.251,12.75759,0.10430,,transit,2017,597,0.93,5378,
K2-139b,0.387,0.808,28.38236,0.179,565,transit,2017,496,1.8,5340,
K2-140b,0.211,1.093,6.56918,0.0687,957,transit,2017,1110,1.00,5705,
KELT-9b,2.88,1.891,1.4811235,0.03462,4050,transit,2017,615.5,2.52,10170,Hottest exoplanet known
KELT-11b,0.195,1.37,4.736529,0.06229,1712,transit,2017,320,1.44,5370,
KELT-12b,0.950,1.78,5.031623,0.06708,1800,transit,2017,,1.59,6279,
KELT-16b,2.75,1.415,0.9689951,0.02044,,transit,2017,1289.2,1.21,6236,
KELT-18b,1.18,1.570,2.8717518,0.04550,2085,transit,2017,,1.52,6670,
KELT-19Ab,<4.07,1.91,4.6117093,0.0637,1935,transit,2017,950,1.62,7500,
KELT-20b,,1.741,3.4741085,0.0542,2262,transit,2017,455.6,1.76,8720,
